requirement_id,subsection,text,verification_phrase,verification_labels,verification_classes,requirement_types,source_sections,target_components,status,test_id,evidence_id
FBVBS-REQ-0001,"G.1. Roots of Trust, Boot, and Platform Requirements",マイクロハイパーバイザーは、FreeBSD より前にロードされなければならない。,boot trace の inspection と platform integration test,boot trace の inspection|platform integration test,inspection|test,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0001,E-BOOT-0001
FBVBS-REQ-0002,"G.1. Roots of Trust, Boot, and Platform Requirements",Intel 構成では FreeBSD が VMX root operation を取得する前に、AMD 構成では FreeBSD が SVM のホスト側仮想化制御権を取得する前に、マイクロハイパーバイザーが有効化されなければならない。,boot path analysis と platform test,boot path analysis|platform test,analysis|test,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0002,E-BOOT-0002
FBVBS-REQ-0003,"G.1. Roots of Trust, Boot, and Platform Requirements",FBVBS v7 適合を主張する構成では、DMA 分離を成立させるために IOMMU が存在し、かつ有効化されていなければならない。,configuration inspection と platform test,configuration inspection|platform test,inspection|test,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0003,E-BOOT-0003
FBVBS-REQ-0004,"G.1. Roots of Trust, Boot, and Platform Requirements",ロールバック防止を主張する構成では、TPM NV 領域または同等の version store を用いて成果物世代を比較しなければならない。,update rollback test と inspection,update rollback test|inspection,test|inspection,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0004,E-BOOT-0004
FBVBS-REQ-0005,"G.1. Roots of Trust, Boot, and Platform Requirements",FBVBS v7 適合を主張する構成では、UART、BMC host serial redirection、IPMI Serial-over-LAN、または専用ロガーのいずれかによる一次監査ログ経路が実際に構成されていなければならない。高保証構成ではその運用成立性まで確認しなければならない。,operational drill と inspection,operational drill|inspection,operational drill|inspection,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0005,E-BOOT-0005
FBVBS-REQ-0006,"G.1. Roots of Trust, Boot, and Platform Requirements",高保証構成では、起動時検証および測定を満たし、起動連鎖の証拠を監査可能にしなければならない。,boot attestation test と evidence inspection,boot attestation test|evidence inspection,test|inspection,security|functional|operational,8|12-15|Appendix F,microhypervisor|firmware integration|platform configuration,normative-frozen,T-BOOT-0006,E-BOOT-0006
FBVBS-REQ-0100,G.2. Logging and Audit Requirements,システムは、FreeBSD ホストから独立した一次監査ログと、FreeBSD 可視のミラーログを分離しなければならない。,design inspection と runtime test,design inspection|runtime test,inspection|test,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0100,E-LOG-0100
FBVBS-REQ-0101,G.2. Logging and Audit Requirements,一次監査ログは、FreeBSD ホスト侵害時にも観測可能な OOB 経路を通じて取得できなければならない。,adversarial operational drill,adversarial operational drill,operational drill,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0101,E-LOG-0101
FBVBS-REQ-0102,G.2. Logging and Audit Requirements,ミラーログは一次監査根拠として扱ってはならない。,documentation review,documentation review,inspection,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0102,E-LOG-0102
FBVBS-REQ-0103,G.2. Logging and Audit Requirements,一次監査ログレコードは、少なくとも sequence、boot identifier、CPU identifier、source component、severity、event code、payload length、payload、CRC32C を含まなければならない。,interface test と inspection,interface test|inspection,test|inspection,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0103,E-LOG-0103
FBVBS-REQ-0104,G.2. Logging and Audit Requirements,CRC32C のみを根拠として改ざん耐性を主張してはならない。より強い改ざん検知を主張する場合は、署名、HMAC、または外部アンカー連結を追加しなければならない。,design inspection,design inspection,inspection,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0104,E-LOG-0104
FBVBS-REQ-0105,G.2. Logging and Audit Requirements,FreeBSD から見えるリングバッファは読み取り専用でなければならず、第二レベルページングにより書込みが拒否されなければならない。,runtime test と fault injection,runtime test|fault injection,test,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0105,E-LOG-0105
FBVBS-REQ-0106,G.2. Logging and Audit Requirements,early boot と panic 時ログ完全性は best effort として扱い、完全取得を無条件に主張してはならない。,documentation review と panic-path test,documentation review|panic-path test,inspection|test,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0106,E-LOG-0106
FBVBS-REQ-0107,G.2. Logging and Audit Requirements,FreeBSD 可視ミラーログリングバッファは `fbvbs_log_ring_header_v1` 固定ヘッダを持ち、その後ろに `fbvbs_log_record_v1` 固定長スロット列を置かなければならない。,interface test と inspection,interface test|inspection,test|inspection,security|interface|operational,13-15|Appendix C,microhypervisor|log relay|FreeBSD mirror consumer|OOB logging path,normative-frozen,T-LOG-0107,E-LOG-0107
